[2021-07-01 14:57:05]	Connected: Socket[addr=/216.106.142.65,port=56239,localport=10000]
[2021-07-01 14:57:05]		Key Accepted
[2021-07-01 14:57:05]		No commands to send
[2021-07-01 14:57:05]	Closed: Socket[addr=/216.106.142.65,port=56239,localport=10000]
[2021-07-01 14:57:37]	Connected: Socket[addr=/216.106.142.65,port=56257,localport=10000]
[2021-07-01 14:57:37]		Key Accepted
[2021-07-01 14:57:37]		No commands to send
[2021-07-01 14:57:37]	Closed: Socket[addr=/216.106.142.65,port=56257,localport=10000]
[2021-07-01 14:58:09]	Connected: Socket[addr=/216.106.142.65,port=56279,localport=10000]
[2021-07-01 14:58:09]		Key Accepted
[2021-07-01 14:58:09]		No commands to send
[2021-07-01 14:58:09]	Closed: Socket[addr=/216.106.142.65,port=56279,localport=10000]
[2021-07-01 14:58:42]	Connected: Socket[addr=/216.106.142.65,port=56297,localport=10000]
[2021-07-01 14:58:42]		Key Accepted
[2021-07-01 14:58:42]		No commands to send
[2021-07-01 14:58:42]	Closed: Socket[addr=/216.106.142.65,port=56297,localport=10000]
[2021-07-01 14:59:14]	Connected: Socket[addr=/216.106.142.65,port=53328,localport=10000]
[2021-07-01 14:59:14]		Key Accepted
[2021-07-01 14:59:14]		No commands to send
[2021-07-01 14:59:14]	Closed: Socket[addr=/216.106.142.65,port=53328,localport=10000]
[2021-07-01 14:59:46]	Connected: Socket[addr=/216.106.142.65,port=64311,localport=10000]
[2021-07-01 14:59:46]		Key Accepted
[2021-07-01 14:59:46]		No commands to send
[2021-07-01 14:59:46]	Closed: Socket[addr=/216.106.142.65,port=64311,localport=10000]
[2021-07-01 15:00:18]	Connected: Socket[addr=/216.106.142.65,port=50474,localport=10000]
[2021-07-01 15:00:19]		Key Accepted
[2021-07-01 15:00:19]		No commands to send
[2021-07-01 15:00:19]	Closed: Socket[addr=/216.106.142.65,port=50474,localport=10000]
[2021-07-01 15:00:51]	Connected: Socket[addr=/216.106.142.65,port=56188,localport=10000]
[2021-07-01 15:00:51]		Key Accepted
[2021-07-01 15:00:51]		No commands to send
[2021-07-01 15:00:51]	Closed: Socket[addr=/216.106.142.65,port=56188,localport=10000]
[2021-07-01 15:01:23]	Connected: Socket[addr=/216.106.142.65,port=49239,localport=10000]
[2021-07-01 15:01:23]		Key Accepted
[2021-07-01 15:01:23]		No commands to send
[2021-07-01 15:01:23]	Closed: Socket[addr=/216.106.142.65,port=49239,localport=10000]
[2021-07-01 15:01:55]	Connected: Socket[addr=/216.106.142.65,port=49259,localport=10000]
[2021-07-01 15:01:55]		Key Accepted
[2021-07-01 15:01:56]		No commands to send
[2021-07-01 15:01:56]	Closed: Socket[addr=/216.106.142.65,port=49259,localport=10000]
[2021-07-01 15:02:28]	Connected: Socket[addr=/216.106.142.65,port=49277,localport=10000]
[2021-07-01 15:02:28]		Key Accepted
[2021-07-01 15:02:28]		No commands to send
[2021-07-01 15:02:28]	Closed: Socket[addr=/216.106.142.65,port=49277,localport=10000]
[2021-07-01 15:03:00]	Connected: Socket[addr=/216.106.142.65,port=61380,localport=10000]
[2021-07-01 15:03:00]		Key Accepted
[2021-07-01 15:03:00]		No commands to send
[2021-07-01 15:03:00]	Closed: Socket[addr=/216.106.142.65,port=61380,localport=10000]
[2021-07-01 15:03:32]	Connected: Socket[addr=/216.106.142.65,port=61401,localport=10000]
[2021-07-01 15:03:32]		Key Accepted
[2021-07-01 15:03:32]		No commands to send
[2021-07-01 15:03:32]	Closed: Socket[addr=/216.106.142.65,port=61401,localport=10000]
[2021-07-01 15:04:04]	Connected: Socket[addr=/216.106.142.65,port=58979,localport=10000]
[2021-07-01 15:04:04]		Key Accepted
[2021-07-01 15:04:05]		No commands to send
[2021-07-01 15:04:05]	Closed: Socket[addr=/216.106.142.65,port=58979,localport=10000]
[2021-07-01 15:04:37]	Connected: Socket[addr=/216.106.142.65,port=58999,localport=10000]
